animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID198,2026-01-12,2026-04-07,86,35272.1314003317,110315,175356.259366298,157,943.935454083879,2039.02627170114,2.33674781679485,30-115kg,30,115
ID002,2025-12-07,2026-03-17,101,33878.6,118691.666910465,236645.040051853,179,878.891885082541,2343.0201985332,2.79019552849884,30-120kg,30,120
ID003,2025-12-06,2026-03-18,103,31088.6332762846,117223.88015629,234471.830332552,179,857.067133134381,2276.42553720925,2.72213569735505,30-120kg,30,120
ID004,2025-12-09,2026-03-29,111,31061,117825.580000159,235801.855399272,183,834.27480769384,2124.34103963308,2.71772024250955,30-120kg,30,120
ID005,2025-12-02,2026-03-03,92,34643.0500593289,115860.526240601,238455.494257929,165,961.153564275408,2591.90754628184,2.93601211795491,30-120kg,30,120
ID006,2025-12-09,2026-02-28,82,34445.6320143295,113959.555555556,230041.039550529,161,1060.18564721635,2805.37853110401,2.89309128898988,30-120kg,30,120
ID007,2025-12-04,2026-02-26,85,34673.9090909091,116369.684183862,227496.976958707,159,1047.38173196093,2676.43502304361,2.78468472451437,30-120kg,30,120
ID008,2025-12-02,2026-02-14,75,35403.9684304229,111558.63094297,205783.358329913,147,1136.63675391861,2743.77811106551,2.70217674848221,30-120kg,30,120
ID009,2025-12-02,2026-03-01,90,33672.5928275092,114970.830982647,258954.37727648,163,979.496845242624,2877.27085862755,3.18523971924617,30-120kg,30,120
ID010,2025-12-16,2026-03-26,101,34281.7214083425,116133.615384615,268569.554619254,187,875.421325949442,2659.10450118073,3.28116481577209,30-120kg,30,120
ID011,2025-12-08,2026-04-05,119,31092.5677861799,117293.75,302257.771961208,198,780.10119650516,2539.98127698494,3.50642258259828,30-120kg,30,120
ID012,2025-12-06,2026-03-02,87,31497.7449589972,117515.368421053,304482.337601787,156,1075.22029327569,3499.79698392859,3.53976691458004,30-120kg,30,120
ID013,2025-12-09,2026-03-15,97,34687.5106382979,119087.161895423,238187.780702935,170,970.110933989946,2455.5441309581,2.82214176427449,30-120kg,30,120
ID015,2025-12-09,2026-03-19,101,32352.4409090909,119676.057815679,234998.973187055,180,895.626840067568,2326.72250680253,2.69112734345898,30-120kg,30,120
ID017,2025-12-05,2026-03-21,107,32030.4870631615,118027.135968936,247502.950440699,183,855.688048813677,2313.11168636168,2.8780534310341,30-120kg,30,120
ID018,2025-12-24,2026-04-22,120,33447.1666666667,118848.746865052,257635.871855169,207,755.766196445887,2146.96559879307,3.01675766720813,30-120kg,30,120
ID019,2025-12-08,2026-03-09,92,31384,117927.18337512,287323.259078582,170,1018.15509853082,3123.07890302807,3.31999873211486,30-120kg,30,120
ID020,2025-12-09,2026-03-20,102,32452.0454545455,117023.724571317,252436.490542454,182,885.567320594463,2474.86755433778,2.98488209266728,30-120kg,30,120
ID021,2025-12-02,2026-03-29,118,30377.9464600376,113687.45908303,279261.551181383,191,743.834934133862,2366.62331509646,3.35209680610122,30-120kg,30,120
ID023,2025-12-02,2026-03-01,90,31430.518734363,115874.636363636,232310.497292445,161,1005.28711463421,2581.22774769383,2.75105600975469,30-120kg,30,120
ID024,2025-12-21,2026-04-01,102,33506.2673394989,115232,274828.270274986,185,860.270870110537,2694.39480661751,3.36281194830834,30-120kg,30,120
ID027,2025-12-10,2026-03-19,100,30836.5233523752,114580.124097515,260522.118133255,173,890.889369629149,2605.22118133255,3.11094956289391,30-120kg,30,120
ID028,2025-12-10,2026-03-21,102,31411.3,118533.431021889,256319.288147651,182,952.154437397699,2512.93419752599,2.94206862413927,30-120kg,30,120
ID029,2025-12-14,2026-03-10,87,41592.94837293,118125.257829428,219415.104354501,172,968.76341084175,2522.01269372989,2.86696044994198,30-120kg,30,120
ID030,2025-12-04,2026-03-10,97,35732.3724031129,115880.562058538,221994.128137733,171,871.175974515494,2288.59925915189,2.76979591294744,30-120kg,30,120
ID032,2025-12-15,2026-03-29,105,33065.7034173926,118666.972476785,285593.398589868,187,873.482337340736,2719.93712942731,3.33632201634437,30-120kg,30,120
ID033,2025-12-05,2026-03-17,103,33684.5416211577,116558.5,299614.338669732,178,872.357456619393,2908.87707446341,3.61530141109107,30-120kg,30,120
ID034,2025-12-09,2026-03-23,105,31376.8803479265,118267.691065446,283103.124359022,184,877.684956742622,2696.22023199068,3.25814803684345,30-120kg,30,120
ID035,2025-12-09,2026-03-26,108,33215.8461538462,116921.3902758,272372.182006752,186,828.767763583705,2521.96464821067,3.25393239914815,30-120kg,30,120
ID036,2025-12-11,2026-03-16,96,33320.7115009747,117958.2,219451.078323603,178,972.844695391096,2285.94873253753,2.59283542334943,30-120kg,30,120
ID038,2025-12-13,2026-03-21,99,37657.4695042594,118575.860203976,247280.187231022,183,865.437333686804,2497.77966900022,3.05592072571815,30-120kg,30,120
ID040,2026-01-01,2026-04-19,109,34173.3122605364,117597.107659286,245220.749014193,202,830.087516405468,2249.73164233204,2.93945807478652,30-120kg,30,120
ID044,2025-12-23,2026-04-11,110,31128.625,116044.786647524,266506.303729651,189,824.428753859456,2422.78457936047,3.13846385139126,30-120kg,30,120
ID045,2025-12-23,2026-04-17,116,35987.4834371687,118658,215088.773936089,202,744.779428493976,1854.21356841456,2.60175916250162,30-120kg,30,120
ID048,2025-12-23,2026-04-11,110,37373.6265289158,118368.405709413,253417.556742015,194,790.192967614601,2303.79597038195,3.12881347793139,30-120kg,30,120
ID049,2025-12-23,2026-03-16,84,39501.3605277985,116179.434782609,255851.382568642,171,995.819146166367,3045.84979248383,3.33669546418729,30-120kg,30,120
ID055,2025-12-23,2026-03-26,94,38673.9961510754,116697.100516837,213074.762575581,181,891.692621322996,2266.75279335724,2.73091880036859,30-120kg,30,120
ID060,2025-12-27,2026-04-18,113,30983,118155.824300184,270562.206834228,197,822.3851349074,2394.35581269228,3.10374487698749,30-120kg,30,120
ID062,2025-12-23,2026-04-22,121,30706.9090530634,117836.888157303,253670.229669291,200,764.298062317894,2096.44817908505,2.91140009761517,30-120kg,30,120
ID063,2025-12-23,2026-03-29,97,31308.8802898318,115592.152633755,262615.684562309,183,926.189805977177,2707.37819136401,3.11586958193424,30-120kg,30,120
ID064,2025-12-23,2026-04-17,116,34346.0373914784,119042.089379188,209932.595587501,196,749.522583962031,1809.76375506466,2.47865857570273,30-120kg,30,120
